mois; quantieme (0=SUNDAY, 6=SATURDAY); jour; #solutions; secondes CPU
3; 6; 5; 16; 0.28
9; 3; 14; 34; 0.34
7; 3; 26; 18; 0.33
3; 4; 20; 28; 0.43
6; 6; 21; 17; 0.42
2; 2; 14; 45; 0.41
10; 5; 11; 6; 0.14
1; 5; 4; 31; 0.28
5; 0; 12; 4; 0.19
1; 5; 21; 20; 0.37
6; 1; 10; 9; 0.19
1; 3; 11; 21; 0.38
11; 3; 16; 50; 0.39
12; 5; 29; 40; 0.29
9; 0; 27; 15; 0.21
11; 4; 13; 41; 0.56
4; 0; 19; 18; 0.22
3; 4; 10; 19; 0.26
8; 5; 4; 25; 0.22
9; 1; 23; 16; 0.26
4; 2; 9; 46; 0.31
8; 3; 2; 32; 0.52
11; 6; 31; 43; 0.36
8; 4; 1; 36; 0.25
1; 2; 9; 96; 0.53
1; 6; 30; 74; 0.64
1; 2; 22; 116; 0.54
2; 1; 10; 13; 0.17
1; 4; 12; 22; 0.41
9; 1; 7; 15; 0.26
2; 1; 30; 12; 0.16
